Filename,Standard,Passage,Tier,LLM,Iteration,Temperature,Elapsed Time (secs),Input Tokens,Output Tokens,Total Tokens
 RL 8.1 22562 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),6b,GPT,1,0.7,6.40,5286,325,5611
 RL 8.1 93814 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),6b,GPT,2,0.8,7.66,5622,324,5946
 RL 8.1 76601 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),6b,GPT,3,0.8,3.61,5957,289,6246
 RL 8.1 55351 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),4a,GPT,1,0.7,6.05,2979,465,3444
 RL 8.1 70702 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),4a,GPT,2,0.8,5.99,3455,443,3898
 RL 8.1 60714 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),4a,GPT,3,0.8,4.75,3909,411,4320
 RL 8.1 71681 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),2b,GPT,1,0.7,12.54,4960,824,5784
 RL 8.1 49642 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),2b,GPT,2,0.8,7.17,5795,667,6462
 RL 8.1 57439 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),2b,GPT,3,0.8,9.05,6473,721,7194
 RL 8.1 66759 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),7b,GPT,1,0.7,6.44,5352,448,5800
 RL 8.1 45930 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),7b,GPT,2,0.8,4.13,5811,430,6241
 RL 8.1 51403 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),7b,GPT,3,0.8,3.85,6252,444,6696
 RL 8.1 12577 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),3b,GPT,1,0.7,6.10,5034,529,5563
 RL 8.1 76625 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),3b,GPT,2,0.8,5.61,5574,464,6038
 RL 8.1 28217 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),3b,GPT,3,0.8,3.91,6049,385,6434
 RL 8.1 16965 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),5a,GPT,1,0.7,7.26,3057,483,3540
 RL 8.1 55560 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),5a,GPT,2,0.8,4.47,3551,400,3951
 RL 8.1 35114 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),5a,GPT,3,0.8,4.70,3962,468,4430
 RL 8.1 44082 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),2a,GPT,1,0.7,9.61,2808,740,3548
 RL 8.1 48425 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),2a,GPT,2,0.8,10.72,3559,767,4326
 RL 8.1 73824 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),2a,GPT,3,0.8,16.99,4337,683,5020
 RL 8.1 70057 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),4b,GPT,1,0.7,6.71,5131,614,5745
 RL 8.1 33926 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),4b,GPT,2,0.8,5.23,5756,490,6246
 RL 8.1 73910 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),4b,GPT,3,0.8,5.60,6257,569,6826
 RL 8.1 28311 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),6a,GPT,1,0.7,6.17,3134,508,3642
 RL 8.1 73635 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),6a,GPT,2,0.8,4.07,3653,397,4050
 RL 8.1 25683 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),6a,GPT,3,0.8,4.31,4061,408,4469
 RL 8.1 67135 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),5b,GPT,1,0.7,9.55,5209,374,5583
 RL 8.1 33334 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),5b,GPT,2,0.8,6.46,5594,367,5961
 RL 8.1 86780 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),5b,GPT,3,0.8,3.42,5972,335,6307
 RL 8.1 82030 The Night Circus (MA grade 8 2023 MCAS).txt, RL 8.1,The Night Circus (MA grade 8 2023 MCAS),3a,GPT,1,0.7,7.82,2882,498,3380
