Run Timestamp,Random ID,Standard,Passage,Tier,LLM,Temperature,Input Tokens,Output Tokens,Total Tokens,Elapsed Time,Checksum
Items 2026-01-16 11-02-34,31753, RL 8.1,RL 8.1 The Night Circus (MA grade 8 2023 MCAS).txt,Tier 6b,GPT,0.7,5286,325,5611,6.40,f413e9eecca7667e8981838a0ad70693d2c25a2565d4e9e892c43b29af0f6006
Items 2026-01-16 11-02-34,32252, RL 8.1,RL 8.1 The Night Circus (MA grade 8 2023 MCAS).txt,Tier 6b,GPT,0.8,5622,324,5946,7.66,51b087c258f5bc7fa4f32fd77ae9f2aef4a44712d4941d19fcf10a0c21cc2f27
Items 2026-01-16 11-02-34,80271, RL 8.1,RL 8.1 The Night Circus (MA grade 8 2023 MCAS).txt,Tier 6b,GPT,0.8,5957,289,6246,3.61,1f1f66ce74edd9237d827de2dc08460e9f90212db777a4c232a8c76a188cdf04
Items 2026-01-16 11-02-34,59966, RL 8.1,"RI 8.2 James ""Jim"" Bridger (Utah grade 8 practice).txt",Tier 6b,GPT,0.7,3423,380,3803,6.07,54b1ec0b0875abfc8ce93b13242f1f3f0e614d604d5e30dfb5755dd481785773
Items 2026-01-16 11-02-34,82305, RL 8.1,"RI 8.2 James ""Jim"" Bridger (Utah grade 8 practice).txt",Tier 6b,GPT,0.8,3814,352,4166,4.55,ff92aa8b708c306feff6ab021b8daf533a532c604321f202d8bb88b729669adf
Items 2026-01-16 11-02-34,80187, RL 8.1,RL 8.1 The Night Circus (MA grade 8 2023 MCAS).txt,Tier 4a,GPT,0.7,2979,465,3444,6.05,d378f0758b915d3d70b9702f03fe5abd7fc4708f6a1561915b84b01f849d93b7
Items 2026-01-16 11-02-34,94973, RL 8.1,RL 8.1 The Night Circus (MA grade 8 2023 MCAS).txt,Tier 4a,GPT,0.8,3455,443,3898,5.99,1226e5aae30dcbf6b2d89a49750ed5b79825eb09c2002f13dad331aa5ddec940
Items 2026-01-16 11-02-34,56559, RL 8.1,RL 8.1 The Night Circus (MA grade 8 2023 MCAS).txt,Tier 4a,GPT,0.8,3909,411,4320,4.75,d001f4c9eb16e5ac91975ceb3b1a1617e8f6d2e96d96f164b4706d4081bfcbf0
Items 2026-01-16 11-02-34,40476, RL 8.1,"RI 8.2 James ""Jim"" Bridger (Utah grade 8 practice).txt",Tier 4a,GPT,0.7,1116,440,1556,6.80,a6a379e5dac17dc1a894c62800326c9c7f2666cc280271851e12b0e720dda2f7
Items 2026-01-16 11-02-34,11101, RL 8.1,"RI 8.2 James ""Jim"" Bridger (Utah grade 8 practice).txt",Tier 4a,GPT,0.8,1567,363,1930,6.95,5d8f6192ab7a363e158feb491be2efeb73715e3667a38396f4c7d804cb558836
