Random ID,Standard,Passage,Tier,LLM,Temperature,Input Tokens,Output Tokens,Total Tokens,Elapsed Time
58287, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,GPT,0.7,3110,568,3678,13.74
47558, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,GPT,0.8,3689,564,4253,10.67
83594, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,Claude,0.7,3406,819,4225,28.04
50362, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,Claude,0.8,4239,838,5077,23.67
81425, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,GPT,0.7,1125,985,2110,15.34
10847, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,GPT,0.8,2121,776,2897,14.13
24150, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,Claude,0.7,1222,485,1707,19.27
19585, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,Claude,0.8,1721,544,2265,20.43
68824, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,GPT,0.7,3385,705,4090,13.61
24759, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,GPT,0.8,4101,685,4786,11.75
66799, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,Claude,0.7,3705,923,4628,30.61
53807, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,Claude,0.8,4642,955,5597,27.76
62888, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,GPT,0.7,1035,908,1943,17.19
62723, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,GPT,0.8,1954,943,2897,21.02
39529, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,Claude,0.7,1130,543,1673,19.25
25214, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,Claude,0.8,1687,547,2234,22.06
42872, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,GPT,0.7,3020,372,3392,8.36
12503, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,GPT,0.8,3403,380,3783,6.71
11767, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,Claude,0.7,3308,736,4044,22.92
26482, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,Claude,0.8,4058,753,4811,21.08
41998, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6b,GPT,0.7,3317,541,3858,9.64
